Date & Time, Mass (kg), Flowrate (g/s)
2026-05-13 11:05:50,100.0,-100000
2026-05-13 11:05:55,84.68,-3.0639999999999987
2026-05-13 11:06:00,40.040000000000006,-8.928
2026-05-13 11:06:05,3.3200000000000074,-7.343999999999999
2026-05-13 11:06:10,43.900000000000006,8.116
2026-05-13 11:06:15,72.75,5.769999999999999
2026-05-13 11:06:20,80.95,1.6400000000000006
2026-05-13 11:06:25,118.57,7.523999999999998
2026-05-13 11:06:30,120.52999999999999,0.39199999999999874
2026-05-13 11:06:35,165.51,8.996
2026-05-13 11:06:40,213.22,9.542000000000002
2026-05-13 11:06:45,241.94,5.744
2026-05-13 11:06:50,266.31,4.8740000000000006
2026-05-13 11:06:55,312.13,9.163999999999998
2026-05-13 11:07:00,266.89,-9.048000000000002
2026-05-13 11:07:05,307.71999999999997,8.165999999999997
